x,y
1960,64.152
1961,64.537
1962,64.752
1963,65.132
1964,65.294
1965,65.502
1966,66.063
1967,66.439
1968,66.757
1969,67.168
1970,67.583
1971,67.975
1972,68.577
1973,69.092
1974,69.503
1975,69.762
1976,70.035
1977,70.264
1978,70.494
1979,70.778
1980,71.066
1981,71.722
1982,71.959
1983,72.105
1984,72.251
1985,72.388
1986,72.462
1987,72.789
1988,73.047
1989,73.023
1990,73.076
1991,73.1
1992,73.179
1993,73.225
1994,73.272
1995,73.349
1996,73.448
1997,73.452
1998,73.491
1999,73.561
2000,73.569
2001,73.647
2002,73.726
2003,73.752
2004,73.576
2005,73.811
2006,74.026
2007,74.21
2008,74.147
2009,74.56
2010,75.404
2011,75.465
2012,75.531
2013,75.636
2014,75.601
2015,75.683
2016,75.617
2017,75.903
2018,76.072
2019,76.248
2020,75.723
1960,44.0855518454965
1961,44.386696928982
1962,44.7521818697994
1963,44.9131593023895
1964,45.4790430350926
1965,45.4983377851245
1966,45.249104629175
1967,45.9249050028634
1968,46.2230965735857
1969,46.4323030920124
1970,46.7184845197579
1971,47.1929422628056
1972,46.8973892484582
1973,47.6923174333564
1974,47.5980637543936
1975,47.7598869102852
1976,48.3495880515137
1977,48.6359051941044
1978,48.7636045995518
1979,49.261335737194
1980,49.6365376633939
1981,50.0570732913929
1982,50.2968491379812
1983,48.7033305923076
1984,48.6526645552392
1985,49.0116307202704
1986,49.6397190079537
1987,50.0758875408274
1988,49.3597265265243
1989,50.6840997852884
1990,50.6077275337211
1991,50.3904596093263
1992,49.9621136475362
1993,50.2736279712378
1994,50.882581820857
1995,51.0019252899341
1996,50.8106889705148
1997,50.9742313589474
1998,50.3259127442221
1999,51.2378519083819
2000,51.9644813247726
2001,52.189648214333
2002,52.540794004192
2003,53.0220345898659
2004,53.5454571098034
2005,54.2196508058581
2006,55.1505461100496
2007,55.9338017149142
2008,56.6804188973962
2009,57.6208515442432
2010,58.4111497501441
2011,59.2932713889337
2012,60.0507802468673
2013,60.709863140516
2014,61.337911447657
2015,61.8564524336049
2016,62.4440448894169
2017,62.9223846035263
2018,63.3658579512382
2019,63.7556736140197
2020,63.3138559861117
1960,32.535
1961,33.068
1962,33.547
1963,34.016
1964,34.494
1965,34.953
1966,35.453
1967,35.924
1968,36.418
1969,36.91
1970,37.418
1971,37.923
1972,38.444
1973,39.003
1974,39.55
1975,40.1
1976,40.645
1977,41.228
1978,40.271
1979,39.086
1980,39.618
1981,40.164
1982,37.766
1983,38.187
1984,33.329
1985,33.55
1986,39.396
1987,39.844
1988,43.958
1989,45.158
1990,45.967
1991,46.663
1992,47.596
1993,51.466
1994,51.495
1995,52.544
1996,53.243
1997,53.634
1998,52.943
1999,54.846
2000,55.298
2001,55.798
2002,56.454
2003,57.344
2004,57.944
2005,58.361
2006,58.684
2007,59.111
2008,59.852
2009,60.364
2010,60.851
2011,61.419
2012,61.923
2013,62.417
2014,62.545
2015,62.659
2016,63.136
2017,63.016
2018,63.081
2019,63.565
2020,62.575
1960,37.8451516181524
1961,38.1649497795417
1962,38.7351018609467
1963,39.0637152759625
1964,39.3353602545354
1965,39.6180376955522
1966,39.8378269884933
1967,39.4715000612072
1968,40.0856789209301
1969,40.3504203845339
1970,41.0347613835006
1971,41.5567211054069
1972,42.2497926046538
1973,42.855047105512
1974,43.4976836506848
1975,44.201253848732
1976,45.0031631429918
1977,45.7198894946875
1978,46.2695350883761
1979,46.6737358706341
1980,47.0152387693495
1981,47.2971899672045
1982,47.529378486773
1983,47.7852622311657
1984,47.9319203796927
1985,48.0216757263596
1986,48.0667637335486
1987,48.2378522324172
1988,48.5129131210586
1989,48.6898474133953
1990,48.6500033905016
1991,48.6624610142838
1992,48.7372663398837
1993,48.8320388374723
1994,48.6818922948796
1995,48.7837728532269
1996,48.9062773288063
1997,49.0791837660659
1998,49.3329492370093
1999,49.7501167734063
